Id,ClassId,Name,Body,IsHidden,Predefined,PostNoticeDurationId
"1","1","Citation needed","Some of the information contained in this post requires additional references. Please edit to add citations to reliable sources that support the assertions made here. Unsourced material may be disputed or deleted.","False","True","1"
"2","1","Current event","Post is related to a rapidly changing event.","False","True","1"
"3","1","Insufficient explanation","We're looking for long answers that provide some explanation and context. Don't just give a one-line answer; explain why your answer is right, ideally with citations. Answers that don't include explanations may be removed.","False","True","1"
"10","2","Current answers are outdated","The current answer(s) are out-of-date and require revision given recent changes.","False","True","1"
"11","2","Draw attention","This question has not received enough attention.","False","True","1"
"12","2","Improve details","The current answers do not contain enough detail.","False","True","1"
"13","2","Authoritative reference needed","Looking for an answer drawing from credible and/or official sources.","False","True","1"
"14","2","Canonical answer required","The question is widely applicable to a large audience. A detailed canonical answer is required to address all the concerns.","False","True","1"
"15","2","Reward existing answer","One or more of the answers is exemplary and worthy of an additional bounty.","False","True","1"
"20","4","Content dispute","This post has been locked while disputes about its content are being resolved. For more info [visit meta]($MetaUrl).","False","True","1"
"21","4","Offtopic comments","This post has been locked due to the high amount of off-topic comments generated. For extended discussions, please use [chat]($ChatUrl).","False","True","1"
"22","4","Historical significance","This question exists because it has historical significance, but **it is not considered a good, on-topic question for this site**, 
so please do not use it as evidence that you can ask similar questions here.  This question and its answers are frozen and cannot be changed.
More info: [help].","False","True","-1"
"23","4","Wiki Answer","This question's answers are a collaborative effort: if you see something that can be improved, just edit the answer to improve it! *No additional answers can be added here*","False","True","1"